School_Code,SuburbPostCodeKey,AgeID,School_Name,Street,Suburb,Postcode,Student_numbers,Indigenous_percentage,LBOTE_percentage,ICSEA_Value,Level_of_Schooling,Opportunity_Class,School_Specialty_Type,School_Subtype,Intensive_English_Centre,School_Gender,Phone,School_Email,Fax,Late_Opening_School,Latitude,Longitude,Date_Extracted,LatLong
1700,"2790-Cullen Bullen",10961,"Cullen Bullen Public School","15-23 Castlereagh Hwy","Cullen Bullen","2790","27","NA","NA",849,"Primary School","N","Comprehensive","Kinder to Year 6","N","Coed","6359 0543","cullenbull-p.school@det.nsw.edu.au","6359 0547","N",-33.299877,150.032317,2017-07-03 00:00:00.000,"-33.299877,150.032317"
1722,"2628-Dalgety",10429,"Dalgety Public School","Cooma St","Dalgety","2628","29","NA","NA",1002,"Primary School","N","Comprehensive","Kinder to Year 6","N","Coed","6456 5031","dalgety-p.school@det.nsw.edu.au","6456 5141","N",-36.502746,148.836675,2017-07-03 00:00:00.000,"-36.502746,148.836675"
1740,"2470-Leeville",9738,"Leeville Public School","9375 Summerland Way","Leeville","2470","44","NA","NA",937,"Primary School","N","Comprehensive","Kinder to Year 6","N","Coed","6664 1280","leeville-p.school@det.nsw.edu.au","6664 1353","N",-28.930843,153.003537,2017-07-03 00:00:00.000,"-28.930843,153.003537"
1742,"2371-Deepwater",9423,"Deepwater Public School","Young St","Deepwater","2371","16","NA","NA",874,"Primary School","N","Comprehensive","Kinder to Year 6","N","Coed","6734 5395","deepwater-p.school@det.nsw.edu.au","6734 5407","N",-29.442908,151.848086,2017-07-03 00:00:00.000,"-29.442908,151.848086"
1771,"2469-Drake",9736,"Drake Public School","Allison Street","Drake","2469","31","NA","NA",890,"Primary School","N","Comprehensive","Kinder to Year 6","N","Coed","6737 6677","drake-p.school@det.nsw.edu.au","6737 6725","N",-28.928798,152.374099,2017-07-03 00:00:00.000,"-28.928798,152.374099"
1801,"2487-Duranbah",9926,"Duranbah Public School","105 Duranbah Rd","Duranbah","2487","25","NA","NA",901,"Primary School","N","Comprehensive","Kinder to Year 6","N","Coed","6677 7221","duranbah-p.school@det.nsw.edu.au","6677 7547","N",-28.289121,153.516888,2017-07-03 00:00:00.000,"-28.289121,153.516888"
1835,"2480-Eltham",9796,"Eltham Public School","Boatharbour Rd","Eltham","2480","65","NA","NA",1081,"Primary School","N","Comprehensive","Kinder to Year 6","N","Coed","6629 1321","eltham-p.school@det.nsw.edu.au","6629 1027","N",-28.763663,153.408541,2017-07-03 00:00:00.000,"-28.763663,153.408541"
1840,"2478-Empire Vale",9766,"Empire Vale Public School","River Drive","Empire Vale","2478","36","NA","NA",965,"Primary School","N","Comprehensive","Kinder to Year 6","N","Coed","6683 4298","empirevale-p.school@det.nsw.edu.au","6683 4407","N",-28.915114,153.506059,2017-07-03 00:00:00.000,"-28.915114,153.506059"
1874,"2441-Eungai Creek",9632,"Eungai Public School","Main St","Eungai Creek","2441","52","NA","NA",939,"Primary School","N","Comprehensive","Kinder to Year 6","N","Coed","6569 9248","eungai-p.school@det.nsw.edu.au","6569 9428","N",-30.832071,152.874284,2017-07-03 00:00:00.000,"-30.832071,152.874284"
1879,"2480-Eureka",9798,"Eureka Public School","Lismore-Brunswick River Rd","Eureka","2480","37","NA","NA",1113,"Primary School","N","Comprehensive","Kinder to Year 6","N","Coed","6688 4272","eureka-p.school@det.nsw.edu.au","6688 4039","N",-28.687657,153.439223,2017-07-03 00:00:00.000,"-28.687657,153.439223"
1883,"2663-Eurongilly",10516,"Eurongilly Public School","1323 Eurongilly Road","Eurongilly","2663","19","NA","NA",1032,"Primary School","N","Comprehensive","Kinder to Year 6","N","Coed","6924 5227","eurongilly-p.school@det.nsw.edu.au","6924 5224","N",-34.91017,147.780957,2017-07-03 00:00:00.000,"-34.91017,147.780957"
1978,"2360-Gilgai",9399,"Gilgai Public School","Woodford Pl","Gilgai","2360","57","NA","NA",855,"Primary School","N","Comprehensive","Kinder to Year 6","N","Coed","6723 1309","gilgai-p.school@det.nsw.edu.au","6723 1481","N",-29.852694,151.115555,2017-07-03 00:00:00.000,"-29.852694,151.115555"
1991,"2440-Gladstone",9618,"Gladstone Public School","13 Kinchela St","Gladstone","2440","39","NA","NA",911,"Primary School","N","Comprehensive","Kinder to Year 6","N","Coed","6567 4253","gladstone-p.school@det.nsw.edu.au","6567 4694","N",-31.026485,152.946508,2017-07-03 00:00:00.000,"-31.026485,152.946508"
2037,"2480-Goolmangar",9800,"Goolmangar Public School","Nimbin Rd","Goolmangar","2480","15","NA","NA",1016,"Primary School","N","Comprehensive","Kinder to Year 6","N","Coed","6689 9262","goolmangar-p.school@det.nsw.edu.au","6689 9334","N",-28.709747,153.23169,2017-07-03 00:00:00.000,"-28.709747,153.23169"
2103,"2722-South Gundagai",10660,"Gundagai South Public School","Luke St","South Gundagai","2722","57","NA","NA",915,"Primary School","N","Comprehensive","Kinder to Year 6","N","Coed","6944 1117","gundagais-p.school@det.nsw.edu.au","6944 1158","N",-35.080802,148.103086,2017-07-03 00:00:00.000,"-35.080802,148.103086"
2111,"2581-Gunning",10275,"Gunning Public School","Yass St","Gunning","2581","71","NA","NA",994,"Primary School","N","Comprehensive","Kinder to Year 6","N","Coed","4845 1129","gunning-p.school@det.nsw.edu.au","4845 1236","N",-34.783525,149.265602,2017-07-03 00:00:00.000,"-34.783525,149.265602"
2188,"2652-Humula",10498,"Humula Public School","School St","Humula","2652","14","NA","NA",866,"Primary School","N","Comprehensive","Kinder to Year 6","N","Coed","6928 9254","humula-p.school@det.nsw.edu.au","6928 9219","N",-35.483339,147.760583,2017-07-03 00:00:00.000,"-35.483339,147.760583"
2203,"2590-Illabo",10293,"Illabo Public School","1 Layton Street","Illabo","2590","32","NA","NA",1056,"Primary School","N","Comprehensive","Kinder to Year 6","N","Coed","6924 5475","illabo-p.school@det.nsw.edu.au","6924 5432","N",-34.814002,147.741165,2017-07-03 00:00:00.000,"-34.814002,147.741165"
2226,"2716-Jerilderie",10641,"Jerilderie Public School","31 Bolton St","Jerilderie","2716","43","NA","NA",990,"Primary School","N","Comprehensive","Kinder to Year 6","N","Coed","03 5886 1331","jerilderie-p.school@det.nsw.edu.au","03 5886 1615","N",-35.354598,145.728865,2017-07-03 00:00:00.000,"-35.354598,145.728865"
2239,"2642-Jindera",10454,"Jindera Public School","Dight Street","Jindera","2642","212","NA","NA",999,"Primary School","N","Comprehensive","Kinder to Year 6","N","Coed","6026 3280","jindera-p.school@det.nsw.edu.au","6026 3642","N",-35.959036,146.886741,2017-07-03 00:00:00.000,"-35.959036,146.886741"
2255,"2576-Kangaloon",10242,"Kangaloon Public School","Robertson St","Kangaloon","2576","35","NA","NA",1049,"Primary School","N","Comprehensive","Kinder to Year 6","N","Coed","4888 2215","kangaloon-p.school@det.nsw.edu.au","4888 2372","N",-34.552607,150.529555,2017-07-03 00:00:00.000,"-34.552607,150.529555"
2273,"2350-Armidale",9377,"Kellys Plains Public School","45-47 Kelly's Plains School Rd","Armidale","2350","44","NA","NA",1078,"Primary School","N","Comprehensive","Kinder to Year 6","N","Coed","026775 1253","kellysplan-p.school@det.nsw.edu.au","026775 1365","N",-30.571911,151.636504,2017-07-03 00:00:00.000,"-30.571911,151.636504"
2286,"2354-Kentucky",9386,"Kentucky Public School","Noalimba Ave","Kentucky","2354","49","NA","NA",1048,"Primary School","N","Comprehensive","Kinder to Year 6","N","Coed","6778 7227","kentucky-p.school@det.nsw.edu.au","6778 7208","N",-30.759618,151.449162,2017-07-03 00:00:00.000,"-30.759618,151.449162"
2310,"2358-Kingstown",9393,"Kingstown Public School","Bundarra-Bendemeer Rd","Kingstown","2358","30","NA","NA",934,"Primary School","N","Comprehensive","Kinder to Year 6","N","Coed","6778 9131","kingstown-p.school@det.nsw.edu.au","6778 9122","N",-30.506681,151.116405,2017-07-03 00:00:00.000,"-30.506681,151.116405"
2353,"2652-Ladysmith",10499,"Ladysmith Public School","Tywong St","Ladysmith","2652","41","NA","NA",973,"Primary School","N","Comprehensive","Kinder to Year 6","N","Coed","6922 1524","ladysmith-p.school@det.nsw.edu.au","6922 1696","N",-35.208549,147.510963,2017-07-03 00:00:00.000,"-35.208549,147.510963"
2356,"2325-Laguna",9290,"Laguna Public School","3738 The Great North Road","Laguna","2325","69","NA","NA",1041,"Primary School","N","Comprehensive","Kinder to Year 6","N","Coed","4998 8251","laguna-p.school@det.nsw.edu.au","4998 8106","N",-32.992121,151.130526,2017-07-03 00:00:00.000,"-32.992121,151.130526"
2375,"2480-Larnook",9810,"Larnook Public School","1282 Cawongla Road","Larnook","2480","30","NA","NA",916,"Primary School","N","Comprehensive","Kinder to Year 6","N","Coed","6688 0133","larnook-p.school@det.nsw.edu.au","6688 0189","N",-28.648612,153.114765,2017-07-03 00:00:00.000,"-28.648612,153.114765"
2432,"2850-Lue",11077,"Lue Public School","Swanston St","Lue","2850","22","NA","NA",921,"Primary School","N","Comprehensive","Kinder to Year 6","N","Coed","6373 6407","lue-p.school@det.nsw.edu.au","6373 6431","N",-32.656339,149.844616,2017-07-03 00:00:00.000,"-32.656339,149.844616"
2439,"2775-Central Macdonald",8696,"Macdonald Valley Public School","1331 St Albans Road","Central Macdonald","2775","9","NA","NA",945,"Primary School","N","Comprehensive","Kinder to Year 6","N","Coed","4568 2120","macdonaldv-p.school@det.nsw.edu.au","4568 2022","N",-33.321271,150.971993,2017-07-03 00:00:00.000,"-33.321271,150.971993"
2460,"2792-Mandurama",10968,"Mandurama Public School","Loquat St","Mandurama","2792","10","NA","NA",-1,"Primary School","N","Comprehensive","Kinder to Year 6","N","Coed","6367 5103","mandurama-p.school@det.nsw.edu.au","6367 5306","N",-33.65148,149.069495,2017-07-03 00:00:00.000,"-33.65148,149.069495"
2472,"2765-Maraylya",10783,"Maraylya Public School","Neich Rd","Maraylya","2765","111","NA","NA",1041,"Primary School","N","Comprehensive","Kinder to Year 6","N","Coed","4573 6243","maraylya-p.school@det.nsw.edu.au","4573 6599","N",-33.592681,150.916264,2017-07-03 00:00:00.000,"-33.592681,150.916264"
2480,"2756-Maroota",10747,"Maroota Public School","4540 Old Northern Road","Maroota","2756","40","NA","NA",1002,"Primary School","N","Comprehensive","Kinder to Year 6","N","Coed","4566 8231","maroota-p.school@det.nsw.edu.au","4566 8388","N",-33.455283,150.99365,2017-07-03 00:00:00.000,"-33.455283,150.99365"
2494,"2350-Armidale",9378,"Martins Gully Public School","Bona Vista Rd","Armidale","2350","161","NA","NA",1052,"Primary School","N","Comprehensive","Kinder to Year 6","N","Coed","6772 3314","martinsgul-p.school@det.nsw.edu.au","6771 2257","N",-30.523938,151.637256,2017-07-03 00:00:00.000,"-30.523938,151.637256"
2540,"2620-Michelago",10262,"Michelago Public School","20 Ryrie Street","Michelago","2620","35","NA","NA",1027,"Primary School","N","Comprehensive","Kinder to Year 6","N","Coed","6235 9153","michelago-p.school@det.nsw.edu.au","6235 9034","N",-35.705975,149.161716,2017-07-03 00:00:00.000,"-35.705975,149.161716"
2571,"2287-Minmi",9022,"Minmi Public School","Woodford St","Minmi","2287","109","NA","NA",1012,"Primary School","N","Comprehensive","Kinder to Year 6","N","Coed","4953 2768","minmi-p.school@det.nsw.edu.au","4953 3104","N",-32.876125,151.617471,2017-07-03 00:00:00.000,"-32.876125,151.617471"
2585,"2480-Lismore",9824,"Modanville Public School","Dunoon Rd","Lismore","2480","83","NA","NA",1018,"Primary School","N","Comprehensive","Kinder to Year 6","N","Coed","6628 2234","modanville-p.school@det.nsw.edu.au","6628 2334","N",-28.730204,153.297192,2017-07-03 00:00:00.000,"-28.730204,153.297192"
2599,"2594-Monteagle",10297,"Monteagle Public School","Murringo St","Monteagle","2594","22","NA","NA",960,"Primary School","N","Comprehensive","Kinder to Year 6","N","Coed","6383 6207","monteagle-p.school@det.nsw.edu.au","6383 6286","N",-34.192994,148.34725,2017-07-03 00:00:00.000,"-34.192994,148.34725"
2660,"2379-Mullaley",9479,"Mullaley Public School","Nombi St","Mullaley","2379","37","NA","NA",995,"Primary School","N","Comprehensive","Kinder to Year 6","N","Coed","6743 7852","mullaley-p.school@det.nsw.edu.au","6743 7824","N",-31.098657,149.906668,2017-07-03 00:00:00.000,"-31.098657,149.906668"
2667,"2647-Mulwala",10470,"Mulwala Public School","65 Melbourne Street","Mulwala","2647","49","NA","NA",989,"Primary School","N","Comprehensive","Kinder to Year 6","N","Coed","03 5744 3462","mulwala-p.school@det.nsw.edu.au","03 5743 1130","N",-35.987094,146.006624,2017-07-03 00:00:00.000,"-35.987094,146.006624"
2668,"2800-Clergate",11006,"Clergate Public School","Clergate Lane","Clergate","2800","96","NA","NA",999,"Primary School","N","Comprehensive","Kinder to Year 6","N","Coed","6365 8256","clergate-p.school@det.nsw.edu.au","6365 8334","N",-33.192057,149.112293,2017-07-03 00:00:00.000,"-33.192057,149.112293"
2714,"2800-Nashdale",11009,"Nashdale Public School","Cargo Rd","Nashdale","2800","116","NA","NA",1069,"Primary School","N","Comprehensive","Kinder to Year 6","N","Coed","6365 3161","nashdale-p.school@det.nsw.edu.au","6365 3327","N",-33.293794,149.013466,2017-07-03 00:00:00.000,"-33.293794,149.013466"
2759,"2281-Nords Wharf",9134,"Nords Wharf Public School","33 Marine Pde","Nords Wharf","2281","108","NA","NA",1018,"Primary School","N","Comprehensive","Kinder to Year 6","N","Coed","4976 1257","nordswharf-p.school@det.nsw.edu.au","4972 5046","N",-33.135817,151.605087,2017-07-03 00:00:00.000,"-33.135817,151.605087"
2784,"2460-Nymboida",9715,"Nymboida Public School","Armidale Rd","Nymboida","2460","17","NA","NA",1004,"Primary School","N","Comprehensive","Kinder to Year 6","N","Coed","6649 4137","nymboida-p.school@det.nsw.edu.au","6649 4238","N",-29.947482,152.727964,2017-07-03 00:00:00.000,"-29.947482,152.727964"
2798,"2795-O'Connell",10984,"O'Connell Public School","15 Black's Mill Lane","O'Connell","2795","81","NA","NA",1075,"Primary School","N","Comprehensive","Kinder to Year 6","N","Coed","6337 5725","oconnell-p.school@det.nsw.edu.au","6337 5638","N",-33.524513,149.720076,2017-07-03 00:00:00.000,"-33.524513,149.720076"
2823,"2430-Oxley Island",9553,"Oxley Island Public School","74 Oxley Island Road","Oxley Island","2430","19","NA","NA",990,"Primary School","N","Comprehensive","Kinder to Year 6","N","Coed","6553 2466","oxleyislan-p.school@det.nsw.edu.au","6553 2419","N",-31.912342,152.568571,2017-07-03 00:00:00.000,"-31.912342,152.568571"
2841,"2462-Wooli",9724,"Wooli Public School","Main St","Wooli","2462","48","NA","NA",955,"Primary School","N","Comprehensive","Kinder to Year 6","N","Coed","6649 7522","wooli-p.school@det.nsw.edu.au","6649 7805","N",-29.870923,153.265781,2017-07-03 00:00:00.000,"-29.870923,153.265781"
2852,"2250-Peats Ridge",8686,"Peats Ridge Public School","1231 Peats Ridge Road","Peats Ridge","2250","43","NA","NA",970,"Primary School","N","Comprehensive","Kinder to Year 6","N","Coed","4373 1149","peatsridge-p.school@det.nsw.edu.au","4373 1076","N",-33.325841,151.23275,2017-07-03 00:00:00.000,"-33.325841,151.23275"
2931,"2454-Raleigh",9677,"Raleigh Public School","North St","Raleigh","2454","20","NA","NA",1009,"Primary School","N","Comprehensive","Kinder to Year 6","N","Coed","6655 4228","raleigh-p.school@det.nsw.edu.au","6655 4548","N",-30.450064,153.012586,2017-07-03 00:00:00.000,"-30.450064,153.012586"
2955,"2454-Repton",9678,"Repton Public School","River St","Repton","2454","59","NA","NA",1030,"Primary School","N","Comprehensive","Kinder to Year 6","N","Coed","6655 4201","repton-p.school@det.nsw.edu.au","6655 4570","N",-30.446021,153.029037,2017-07-03 00:00:00.000,"-30.446021,153.029037"
2968,"2474-The Risk",9757,"The Risk Public School","Kyogle-Woodenbong Rd","The Risk","2474","27","NA","NA",1014,"Primary School","N","Comprehensive","Kinder to Year 6","N","Coed","6636 6127","therisk-p.school@det.nsw.edu.au","6636 6110","N",-28.476943,152.93397,2017-07-03 00:00:00.000,"-28.476943,152.93397"
3013,"2474-Rukenvale",9756,"Rukenvale Public School","2303 Summerland Way","Rukenvale","2474","14","NA","NA",1039,"Primary School","N","Comprehensive","Kinder to Year 6","N","Coed","6636 4151","rukenvale-p.school@det.nsw.edu.au","6636 4296","N",-28.468321,152.894396,2017-07-03 00:00:00.000,"-28.468321,152.894396"
3025,"2849-Rylstone",11073,"Rylstone Public School","25-27 Mudgee Street","Rylstone","2849","88","NA","NA",968,"Primary School","N","Comprehensive","Kinder to Year 6","N","Coed","6379 1404","rylstone-p.school@det.nsw.edu.au","6379 1532","N",-32.795564,149.972877,2017-07-03 00:00:00.000,"-32.795564,149.972877"
3078,"2250-Gosford",8688,"Somersby Public School","Wisemans Ferry Rd","Gosford","2250","68","NA","NA",981,"Primary School","N","Comprehensive","Kinder to Year 6","N","Coed","4372 1233","somersby-p.school@det.nsw.edu.au","4372 1542","N",-33.358368,151.291312,2017-07-03 00:00:00.000,"-33.358368,151.291312"
3079,"2340-Somerton",9352,"Somerton Public School","Milkmaid St","Somerton","2340","15","NA","NA",786,"Primary School","N","Comprehensive","Kinder to Year 6","N","Coed","6769 7520","somerton-p.school@det.nsw.edu.au","6769 7400","N",-30.938432,150.641556,2017-07-03 00:00:00.000,"-30.938432,150.641556"
3091,"2343-Spring Ridge",9365,"Spring Ridge Public School","Darby Rd","Spring Ridge","2343","25","NA","NA",1023,"Primary School","N","Comprehensive","Kinder to Year 6","N","Coed","6747 3855","springridg-p.school@det.nsw.edu.au","6747 3987","N",-31.392399,150.254649,2017-07-03 00:00:00.000,"-31.392399,150.254649"
3109,"2725-Stockinbingal",10662,"Stockinbingal Public School","Britannia St","Stockinbingal","2725","25","NA","NA",933,"Primary School","N","Comprehensive","Kinder to Year 6","N","Coed","6943 1477","stockinbin-p.school@det.nsw.edu.au","6943 1540","N",-34.497611,147.883065,2017-07-03 00:00:00.000,"-34.497611,147.883065"
3119,"2422-Stratford",9527,"Stratford Public School","Bucketts Way","Stratford","2422","16","NA","NA",-1,"Primary School","N","Comprehensive","Kinder to Year 6","N","Coed","6558 8234","stratford-p.school@det.nsw.edu.au","6558 8247","N",-32.116885,151.93922,2017-07-03 00:00:00.000,"-32.116885,151.93922"
3162,"2580-Tarago",10266,"Tarago Public School","Goulburn-Braidwood Rd","Tarago","2580","32","NA","NA",961,"Primary School","N","Comprehensive","Kinder to Year 6","N","Coed","4849 4418","tarago-p.school@det.nsw.edu.au","4849 4462","N",-35.067671,149.654751,2017-07-03 00:00:00.000,"-35.067671,149.654751"
3185,"2540-Terara",10084,"Terara Public School","Millbank Rd","Terara","2540","79","NA","NA",1001,"Primary School","N","Comprehensive","Kinder to Year 6","N","Coed","4421 6034","terara-p.school@det.nsw.edu.au","4423 1752","N",-34.866633,150.63038,2017-07-03 00:00:00.000,"-34.866633,150.63038"
3214,"2546-Central Tilba",10176,"Central Tilba Public School","89 Corkhill Drive","Central Tilba","2546","37","NA","NA",1052,"Primary School","N","Comprehensive","Kinder to Year 6","N","Coed","4473 7210","centrtilba-p.school@det.nsw.edu.au","4473 7469","N",-36.315664,150.07194,2017-07-03 00:00:00.000,"-36.315664,150.07194"
3283,"2480-Tuntable Creek",9846,"Tuntable Creek Public School","The Channon","Tuntable Creek","2480","14","NA","NA",916,"Primary School","N","Comprehensive","Kinder to Year 6","N","Coed","6688 6212","tuntableck-p.school@det.nsw.edu.au","6688 6397","N",-28.63176,153.266152,2017-07-03 00:00:00.000,"-28.63176,153.266152"
3304,"2450-Ulong",9667,"Ulong Public School","Hutchison St","Ulong","2450","25","NA","NA",894,"Primary School","N","Comprehensive","Kinder to Year 6","N","Coed","6654 5242","ulong-p.school@det.nsw.edu.au","6654 5263","N",-30.243019,152.884857,2017-07-03 00:00:00.000,"-30.243019,152.884857"
3329,"2765-Vineyard",10787,"Vineyard Public School","4 Bandon Rd","Vineyard","2765","25","NA","NA",922,"Primary School","N","Comprehensive","Kinder to Year 6","N","Coed","9627 1621","vineyard-p.school@det.nsw.edu.au","9838 1132","N",-33.647352,150.857935,2017-07-03 00:00:00.000,"-33.647352,150.857935"
